Arsenal,ARS
Aston Villa,AVL
Burnley,BRN
Chelsea,CHE
Crystal Palace,CRY
Everton,EVE
Hull City,HUL
Leicester City,LEI
Liverpool,LIV
Manchester City,MCI
Manchester United,MUN
Newcastle Utd,NEW
QPR,QPR
Southampton,SOU
Spurs,TOT
Stoke City,STK
Sunderland,SUN
Swansea City,SWA
West Brom,WBA
West Ham,WHU
Birmingham City,BIR
Blackburn Rvrs,BLB
Blackpool,BLP
Bolton,BOL
Bournemouth,BOU
Brentford,BRE
Brighton,BHA
Cardiff City,CAR
Charlton Ath,CHA
Derby County,DER
Fulham,FUL
Huddersfield,HUD
Ipswich Town,IPS
Leeds United,LEE
Middlesbrough,MID
Millwall,MIL
Norwhich City,NOR
Nott'm Forrest,NFO
Reading,RDG
Rotherham Utd,ROT
Sheffield Wed,SHW
Watford,WAT
Wigan Athletic,WIG
Wolves,WOL
Barnsley,BAR
Bradford City,BRD
Bristol City,BRC
Chesterfield,CHF
Colchester,COL
Coventry City,COV
Crawley Town,CRA
Crewe Alexandra,CRE
Doncaster,DON
Flettwood Town,FWT
Gillingham,GIL
Leyton Orient,LEY
MK Dons,MKD
Notts County,NTS
Oldham Athletic,OLD
Peterborough,PET
Port Vale,PVL
Preston,PRE
Rochdale,ROC
Scunthorpe Utd,SCU
Sheffield Utd,SHU
Swindon Town,SWI
Walsall,WAL
Yeovil Town,YEO
Accrington,ACC
AFC Wimbledon,WIM
Burton Albion,BA
Bury,BRY
Cambridge Utd,CAM
Carlisle United,CRL
Cheltenham Town,CHL
Dagenham,DAG
Exeter City,EXE
Hartlepool,HAR
Luton Town,LUT
Mansfield Town,MAN
Morecambe,MOR
Newport County,NEW
Northampton,NHT
Oxford United,OXF
Plymouth Argyle,PLY
Portsmouth,POR
Shrewsbury,SHR
Southend United,SOU
Stevenage,STE
Tranmere Rovers,TRA
Wycombe,WYC
York City,YOR
AS Monaco,ASM
Bordeuax,GDB
EA Guingamp,EAG
Evian Thonon FC,ETG
FC Lorient,FCL
FC Metz,FCM
FC Nantes,FCN
LOSC Lile,LIL
Marseille,OM
Montpellier HSC,MON
OGC Nice,OGC
Olympique Lyon,OL
PSG,PSG
RC lens,RCL
Saint-Etienne,STE
SC Bastia,SCB
SM Caen,SMC
Stade Reims,SDR
Stade Rennais,SR
Toulouse FC,TFC
AC Ajaccio,ACA
AC Arles,ACA
AJ Auxerre,AJA
Angers SCO,SCO
AS Nancy,ASN
Cham. Niortais,NIO
Clermont Foot,CFA
Dijon FCO,DIJ
ES Troyes,TR3
FC Sochaux,SOC
GFC Ajaccio,GFC
LB Chateauroux,LBC
Le Havre AC,HAC
Nimes Olympique,NO
Stade Brest,SB
Stade Lavallois,SL
Tours FC,TFC
US Creteil,USC
US Orleans,ORL
Calenciennes FC,VA
1. FC Koln,KOE
1. FSV Mainz 05,MO5
1899 Hoffenheim,HOF
Bayer 04,BO4
Bor. Dortmund,BVB
Bor. M'gladbach,BMG
Eint. Frankfurt,FFM
FC Augsburg,FCA
FC Bayern,FCB
FC Schalke 04,SO4
